Company Name,Profile URL,Overall Rating,Total Reviews,Industry,Company Summary,Salary Rating,Job Security Rating,Work-Life Balance Rating,Scraped At
TCS,https://www.ambitionbox.com/overview/tcs-overview,3.299999952316284,114177,"IT Services & Consulting, Financial Services, Internet, Education & Training, BPO","Tata Consultancy Services is an IT services, consulting and business solutions organization that has been partnering with many of the world’s largest businesses for the past 50 years. We believe innovation and collective knowledge can transform all our futures with greater purpose.",2.5,3.8,3.5,2026-05-13 02:39:12
Accenture,https://www.ambitionbox.com/overview/accenture-overview,3.700000047683716,73474,"IT Services & Consulting, Analytics & KPO, Software Product, Management Consulting","Accenture is a global professional services company with leading capabilities in digital, cloud, and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology, and Operations services — all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. 

Our 674,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners, and communities. Visit us at accenture.com.",3.3,3.6,3.6,2026-05-13 02:39:17
Wipro,https://www.ambitionbox.com/overview/wipro-overview,3.5999999046325684,65104,"IT Services & Consulting, Advertising / PR / Events, Consulting, Healthcare / Pharma, Recruitment, BPO","A technology services and consulting company, Wipro fuels digital transformation for the world's boldest organizations. With opportunities for growth across design, engineering, operations, and more, Wipro lets you reinvent your world - and your career.",3.0,3.7,3.6,2026-05-13 02:39:22
Cognizant,https://www.ambitionbox.com/overview/cognizant-overview,3.700000047683716,61467,"IT Services & Consulting, Consulting","At Cognizant, we give organizations the insights to anticipate what customers want and act instantly to deliver on those demands. So they can achieve the goal of every modern business: staying one step ahead of a fast-changing world.",3.2,3.6,3.6,2026-05-13 02:39:27
Capgemini,https://www.ambitionbox.com/overview/capgemini-overview,3.5999999046325684,53388,"IT Services & Consulting, Analytics & KPO, Banking, Software Product","Capgemini is an AI-powered global business and technology transformation partner, delivering tangible business value. We imagine the future of organizations and make it real with AI, technology and people. With our strong heritage of nearly 60 years, we are a responsible and diverse group of over 420,000 team members in more than 50 countries. We deliver end-to-end services and solutions with our deep industry expertise and strong partner ecosystem, leveraging our capabilities across strategy, technology, design, engineering and business operations. The Group reported 2025 global revenues of €22.5 billion. Make it real | www.capgemini.com Capgemini in India Capgemini is an AI-powered global business and technology transformation partner, delivering tangible business value. We imagine the future of organizations and make it real with AI, technology and people. With our strong heritage of nearly 60 years, we are a responsible and diverse group of over 420,000 team members in more than 50 countries. We deliver end-to-end services and solutions with our deep industry expertise and strong partner ecosystem, leveraging our capabilities across strategy, technology, design, engineering and business operations. The Group reported 2025 global revenues of €22.5 billion. Capgemini in India comprises nearly 235,000 team members working across 16 locations: Bangalore, Bhubaneswar, Chennai, Coimbatore, Gandhinagar, Gurugram, Hyderabad, Indore, Kolkata, Mumbai, Noida, Nashik, Pune, Salem, Tiruchirappalli and Visakhapatnam. Make it real | www.capgemini.com/in-en .",3.0,3.8,3.8,2026-05-13 02:39:31
HDFC Bank,https://www.ambitionbox.com/overview/hdfc-bank-overview,3.799999952316284,52431,"Banking, Financial Services, Media & Entertainment / Publishing, Insurance, NBFC","HDFC Bank is one of India’s leading private banks and was among the first to receive approval from the Reserve Bank of India (RBI) to set up a private sector bank in 1994. As of December 31, 2024, the Bank’s distribution network was at 9,143 branches and 21,049 ATMs across 4,101 cities / towns as against 8,091 branches and 20,688 ATMs across 3,872 cities / towns as of December 31, 2023. 51% of our branches are in semiurban and rural areas. ​​​​​​​The Bank’s international operations comprises four branches in Hong Kong, Bahrain, Dubai and an IFSC Banking Unit (IBU) in Gujarat International Finance Tech City. It has five representative offices in Kenya, Abu Dhabi, Dubai, London and Singapore. The Singapore and London offices were representative offices of erstwhile HDFC Limited and became representative offices of the Bank post the merger. These are for providing loans-related services for availing housing loans in India and for the purchase of properties in India.",3.4,3.9,3.5,2026-05-13 02:39:36
Infosys,https://www.ambitionbox.com/overview/infosys-overview,3.5,48796,"IT Services & Consulting, Consulting","Infosys is a global leader in next-generation digital services and consulting. Over 323,000 of our people work to amplify human potential and create the next opportunity for people, businesses and communities. We enable clients in 59 countries to navigate their digital transformation. With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer clients, as they navigate their digital transformation powered by cloud and AI. We enable them with an AI-first core, empower the business with agile digital at scale and drive continuous improvement with always-on learning through the transfer of digital skills, expertise, and ideas from our innovation ecosystem. We are deeply committed to being a well-governed, environmentally sustainable organization where diverse talent thrives in an inclusive workplace. Visit www.infosys.com to see how Infosys (NSE, BSE, NYSE: INFY) can help your enterprise navigate your next.",2.7,3.9,3.6,2026-05-13 02:39:39
HCLTech,https://www.ambitionbox.com/overview/hcl-technologies-overview,3.4000000953674316,45997,"IT Services & Consulting, Telecom, Education & Training, Hardware & Networking, Banking, Emerging Technologies, Software Product","HCLTech is a global technology company, home to more than 227,000 people across 60 countries, delivering industry-leading capabilities centered around digital, engineering, cloud and AI, powered by a broad portfolio of technology services and products. We work with clients across all major verticals, providing industry solutions for Financial Services, Manufacturing, Life Sciences and Healthcare, Technology and Services, Telecom and Media, Retail and CPG, and Public Services. Consolidated revenues as of 12 months ending March 2026 totaled $14.7 billion.",2.8,3.6,3.5,2026-05-13 02:39:44
ICICI Bank,https://www.ambitionbox.com/overview/icici-bank-overview,4.0,45946,"Banking, Financial Services","ICICI Bank offers a range of financial products and services to retail, rural, small and medium enterprises and corporate customers. The Bank delivers products and services through various channels including branches, ATMs, mobile phones and the internet. The Bank aims to offer a seamless omni-channel experience to customers. The Bank progressed on its journey of Bank to BankTech through the digital and technological transformation. At ICICI Bank, technology is being integrated into every aspect, from delivering value to customers to optimising internal operations. We aim to grow our profitability within the guardrails of risk and compliance through a 360-degree customer-centric approach and by focusing on ecosystems and micro-markets. The principles of Fair to Customer, Fair to Bank and One Bank, One ROE will guide our operations. We focus on building a culture where every employee in the Bank serves customers with humility and upholds the values of brand ICICI. We aim to be the trusted financial services provider of choice for our customers and deliver sustainable returns to our shareholders.",3.7,4.0,3.7,2026-05-13 02:39:50
Tech Mahindra,https://www.ambitionbox.com/overview/tech-mahindra-overview,3.4000000953674316,43304,"IT Services & Consulting, BPO/KPO, Consulting, Analytics & KPO, Engineering & Construction","Tech Mahindra (NSE: TECHM) offers technology consulting and digital solutions to global enterprises across industries, enabling transformative scale at unparalleled speed. With 152,000+ professionals across 90+ countries helping 1100+ clients, Tech Mahindra provides a full spectrum of services including consulting, information technology, enterprise applications, business process services, engineering services, network services, customer experience & design, AI & analytics, and cloud & infrastructure services. It is the first Indian company in the world to have been awarded the Sustainable Markets Initiative’s Terra Carta Seal, which recognizes global companies that are actively leading the charge to create a climate and nature-positive future. Tech Mahindra is part of the Mahindra Group, founded in 1945, one of the largest and most admired multinational federation of companies. For more information on how TechM can partner with you to meet your Scale at Speed™ imperatives, please visit https://www.techmahindra.com/ Our Social Media Channels LinkedIn: https://www.linkedin.com/company/tech-mahindra X: https://www.twitter.com/Tech_Mahindra For more information on Tech Mahindra, please contact: Abhilasha Gupta, Global Head – Corporate Communications, Tech Mahindra Email: Abhilasha.Gupta@TechMahindra.com; media.relations@techmahindra.com",2.9,3.3,3.4,2026-05-13 02:39:54
